# eventtype event clockticks time[s]  Energy[%]
U 168 125302029 25.00838350175805 77.60756359302495
U 169 125454285 25.038773243525043 77.56371343214828
D 170 125683210 25.0700067011483 77.51408208279801
D 171 125832552 25.099794938389543 77.46527961240409
D 172 128631908 25.65818122401362 77.06144764434961
D 173 128781680 25.688057013933825 77.01283675727205
U 174 128864526 25.719405522549504 76.96344850121706
U 175 129017505 25.749937913196472 76.91986941261533
U 176 131201737 26.18587696446478 76.70202627883019
U 177 131355010 26.216467268401523 76.65855694749172
D 178 131588289 26.247890097650153 76.60932495932946
D 179 131738499 26.277854121253807 76.56090572148848
D 180 134536443 26.835960562684946 76.16281030468708
D 181 134687104 26.866012492500676 76.11458060883275
U 182 134767513 26.897551014265346 76.06558939305522
U 183 134921494 26.928285086369343 76.02238880228786
U 184 137100451 27.363170298741313 75.80870783040729
U 185 137254724 27.39396240517417 75.76561544474622
D 186 137492360 27.425575467409487 75.7167786121452
D 187 137643467 27.455715990188597 75.66873853190395
D 188 140440020 28.01354326643779 75.27628633648737
D 189 140591563 28.04377205048174 75.22843378520942
U 190 140669520 28.07550145140411 75.17983543660148
U 191 140824522 28.10643845821842 75.13700949291251
U 192 142998174 28.540266296683754 74.92741403155247
U 193 143153474 28.571261458893257 74.88469476356582
D 194 143395463 28.60306562060566 74.83624893928186
D 195 143547461 28.633383358459206 74.78858400028446
D 196 146342605 29.190932121029203 74.4016834703779
D 197 146495038 29.22133847672633 74.35420407542885
U 198 146570554 29.25325962799025 74.30599447724823
U 199 146726587 29.284400835933987 74.26353938353003
U 200 148894916 29.717167701729778 74.05795431563985
U 201 149051236 29.74836718615935 74.01560439184286
D 202 149297593 29.780363319009986 73.9675454875829
D 203 149450485 29.810858990937014 73.92025172832965
D 204 152244236 30.368129864324015 73.5388130435829
D 205 152397571 30.39871451220523 73.49170287163946
U 206 152470648 30.43082829020779 73.44387796627048
U 207 152627708 30.46217497907906 73.4017899802858
U 208 154790702 30.893877209671903 73.20014168259793
U 209 154948054 30.92528229614222 73.1581573831205
D 210 155198788 30.957471277007635 73.11048136719306
D 211 155352559 30.98814560511906 73.0635548818299
D 212 158144943 31.545139187291255 72.68748991923917
D 213 158299156 31.575902851005054 72.64074509096532
U 214 158369796 31.608210137406594 72.59330087723299
U 215 158527885 31.639763600601565 72.55157630939014
U 216 160685538 32.0703974696326 72.35379262200031
U 217 160843931 32.102009451560086 72.31217027967631
D 218 161099024 32.13439216257622 72.26487317673136
D 219 161253715 32.165245872108066 72.21831011292245
D 220 164044694 32.72196273497985 71.84753240970252
D 221 164199816 32.752906141307086 71.80114909906108
U 222 164268029 32.785407823070365 71.75408163160813
U 223 164427169 32.81716936780628 71.7127168448108
U 224 166579449 33.24673108502471 71.51872703848588
U 225 166738885 33.278551269644446 71.47746303806898
D 226 166998344 33.31112859825102 71.43054092770781
D 227 167153929 33.3421624175764 71.38433748630992
D 228 169943534 33.8986031074665 71.01876220263047
D 229 170099561 33.92972698633028 70.9727366370376
U 230 170165358 33.962423955770845 70.92604202460865
U 231 170325534 33.994394903314614 70.88503343245166
U 232 172472425 34.4228806144838 70.69476817420389
U 233 172632909 34.4549103230785 70.65385895132589
D 234 172896752 34.48768316206481 70.60730796759837
D 235 173053245 34.51889782270729 70.56146040246215
D 236 175841460 35.075062860783525 70.20100428548
D 237 175998399 35.10636794526386 70.15533274436771
U 238 176061781 35.139261100094124 70.10900714911219
U 239 176223025 35.171442785996575 70.0683512174287
U 240 178364496 35.59884857277757 69.88174253895797
U 241 178526034 35.63108914091082 69.84118457937858
D 242 178794264 35.66405838846196 69.79500090893472
D 243 178951673 35.695454625108674 69.7495055246119
D 244 181738502 36.251344507826964 69.3940868746691
D 245 181896359 36.28283153417441 69.34876568889243
U 246 181957312 36.31592177754732 69.30280532603759
U 247 182119623 36.348315551881846 69.2624985680385
U 248 184255661 36.774637431688426 69.07947983704756
U 249 184418279 36.80709020944415 69.03926967577806
D 250 184690891 36.840256769187306 68.99344955774026
D 251 184849202 36.87183531970179 68.94830270966136
D 252 187634661 37.427450519228685 68.59784134829341
D 253 187793428 37.45912022687556 68.55286689715405
U 254 187851982 37.49240846743822 68.50726803413637
U 255 188015363 37.52501569504418 68.46730701270315
U 256 190145970 37.95024962088258 68.28781290154724
U 257 190309627 37.982915973109186 68.24794712202166
D 258 190586639 38.01628075416086 68.20248684730954
D 259 190745867 38.04804235959615 68.15768493961035
D 260 193529947 38.603383324224176 67.81210217301688
D 261 193689647 38.63523645579982 67.76747088478497
